0,0 VDA Information Security Assessment (DE),3,<b>Welcome to</b>,,,,,,4.1.1
,,,<b>Components:</b>,,,,,,
,,,Incident Management System/Workflow,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.17,100.3.17 Creation degree of required policies/documentations ,3,5.1 Information security policy,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Under an ISMS, mandatory/voluntary policies/documentations shall be prepared.
",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All necessary policies/documentations are present.,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security, HR, Business",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,Initial creation,,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of existing policies/population of necessary policies ,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security, HR, Business",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Contents derived from the Statement of Applicability (SoA) and documented in accordance with ISO 27001,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.18,100.3.18 Actuality of required policies/documentations,3,5.1 Information security policy,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"For the ISMS, the prepared policies/documentations shall be reviewed for their actuality.",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All necessary policies/documentations are reviewed for actuality/content,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security, HR, Business",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of policies reviewed according to cycle/population of policies to be reviewed,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security, HR, Business",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Contents derived from the Statement of Applicability (SoA) and documented in accordance with ISO 27001,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.19,100.3.19 Coverage degree of information security in projects,3,6.2 Information security in projects,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Information security topics shall be addressed during projects.
",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Information security requirements are considered in all projects,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of projects considering security/total number of relevant projects  ,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Project customer, project management office (PMO)",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Overview of projects per PMO,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.20,100.3.20 Protective measures - implementation in projects,3,6.2 Information security in projects,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Projects subject to information security requirements,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Information security requirements are implemented in all projects,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security, IT Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of projects considering security aspects/total number of relevant projects,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Project customer, project management office (PMO)",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Overview of projects per PMO,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.21,100.3.21 Coverage degree of mobile device security ,3,6.3 Mobile devices,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,A comprehensive and consistent protection of all relevant mobile devices is the basis for their secure operation. The KPI measures the coverage degree of the defined protective measures.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All relevant mobile devices are subject to protective measures,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"IT Security, Information Security ",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of protected mobile devices/total number of mobile devices,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT operation, IT Security",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Overview of mobile devices,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.22,100.3.22Effectiveness of implementation of mobile device security measures,3,6.3 Mobile devices,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,A strong implementation of protective measures regarding relevant mobile devices reduces weaknesses.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All relevant mobile devices are subject to up-to-date protection,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"IT Security, Information Security, Corporate Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of mobile devices protected in a timely manner/total number of mobile devices,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT operation, IT Security",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Overview of mobile devices,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.23,100.3.23 Implementation degree of zone concept,3,11.1 Security zones,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Properties shall be adequately protected, this can be achieved by implementation of a zone concept. The zone concept should be implemented comprehensively.",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Zones are defined for all properties,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of properties with zone concept/population of properties,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Plant security, local security functions, specialized departments",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Property plans, zone concept, information classification",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.24,100.3.24 Implementation of protective measures for zone concept,3,11.1 Security zones,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Zones shall be protected adequately according to the criticality.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Security zones are protected according to internal specifications (see e.g. References „Security zones“).,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Information Security, Corporate Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,to be determined individually (target coverage = 100 %),,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of adequately secured zones/population of all zones,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Plant security, local security functions, specialized departments",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Property plans, zone concept, information classification",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.25,100.3.25 Coverage degree review „Authorizations“,3,11.3 Protection measures in the delivery and shipping area,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Regular verifications of access rights with respect to their  need are a prerequisite for a secure delivery and shipping zone,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All employees working in the delivery and shipping area are subject to regular review of access rights,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Corporate Security, Logistics, authorities",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of employees working in the delivery and shipping area who are subject to regular access rights reviews/population of employees working in the delivery and shipping area,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Logistics, Access Management",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"Staff directory (internal/external), access control system",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,10 years,,,,,,
,,,,,,,,,
100.3.26,100.3.26 Coverage degree of event logs on security-critical systems,3,12.5 Event logging,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Event logging enables traceability of activities in a process or process step/on a system/in an application. This functionality helps to solve system failures/abnormalities. Logs should be activated in security-critical systems.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All relevant systems and applications are integrated into event logging,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security, Compliance",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%, special case of systems relevant to billing: target coverage",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of logged security-critical systems/total number of security-critical systems,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT, System Owner, Data Owner, Risk Owner",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"CMDB, Logging server",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,to be defined individually (if relevant to billing: 10 years),,,,,,
,,,,,,,,,
100.3.27,100.3.27 Functioning log activity,3,12.5 Event logging,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Results of logging activities shall allow their analysis. Reliable end-to-end recording of the activities to be monitored is essential for traceability, if required.",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Completeness and correctness of logs,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security, Compliance",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"Number of incorrect logs
Red: > 0,Green = 0",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,number of incorrectly written logs,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT, System Owner, Data Owner, Risk Owner",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"CMDB, Logging server",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,to be defined individually (if relevant to billing: 10 years),,,,,,
,,,,,,,,,
100.3.28,100.3.28 Coverage degree of admin logs on security-critical systems,3,12.6 Logging administrative activities,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Admin logging allows traceability of administrator activities in a process or process step/on a system/in an application. This functionality helps to solve abnormalities. Administrator logs should be activated in security-critical systems and protected against (admin) manipulations.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All relevant systems and applications are integrated into admin logging,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security, Compliance",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%, special case of systems relevant to billing: target coverage",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of logged security-critical systems/total number of security-critical systems,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT, System Owner, Data Owner, Risk Owner, User Management",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"CMDB, Logging server, IAM",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,to be defined individually (if relevant to billing: 10 years),,,,,,
,,,,,,,,,
100.3.29,100.3.29 Functioning log activity,3,12.6 Logging administrative activities,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,"Results of admin logging activities shall allow their analysis. Reliable and manipulation-protected end-to-end recording of the admin activities to be monitored is essential for traceability, if required.",,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Completeness and integrity of admin logs,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security, Compliance",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"Number of incorrect admin logs
Red: > 0,Green = 0",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,number of incorrectly written admin logs,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. quarterly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"IT, System Owner, Data Owner, Risk Owner, User Management",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"CMDB, Logging server, IAM",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,to be defined individually (if relevant to billing: 10 years),,,,,,
,,,,,,,,,
100.3.30,100.3.30 Coverage degree system audits,3,12.8 System audits,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,IT systems processing or storing information of high or very high protection needs shall be subjected to audits at regular intervals.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All relevant systems are subject to audits at regular intervals,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of audited systems/total number of security-critical systems  ,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Audit Management, IT Operation, System Owner",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,CMDB,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.31,100.3.31Effectivity of system audit implementation,3,12.8 System audits,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Measures resulting from those audits shall be implemented in time in order to eliminate vulnerabilities.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All measures are implemented in time,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of measures implemented in time/number of measures still to be implemented,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Audit Management, IT Operation, System Owner",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,"CMDB, Audit system",,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.32,100.3.32 Coverage degree review service level agreements (SLA) ,3,13.2 Network services,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Regular verifications of the SLAs for network services ensure consideration of current security requirements at all times.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All SLAs include the current security requirements,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of verified SLAs/total number of SLAs,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,," Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,CMDB,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.33,100.3.33 Effectiveness of observing SLAs,3,13.2 Network services,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,2,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,The agreed measures resulting from SLAs shall be implemented.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,All requirements resulting from the SLAs are implemented,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of measures implemented/number of measures agreed,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Local IT, Information Security",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,CMDB,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.34,100.3.34 Coverage degree non-disclosure agreements,3,13.5 Non-disclosure agreements,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Coverage,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,The protection of information confidentiality shall be subject to contractual agreement where at least confidential information is exchanged with external partners.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,A non-disclosure agreement has been entered with all external partners,,,,,,
,,,,,,,,,
,,,<b>Recipient:</b>,,,,,,
,,,"Acquisition, Information Security, specialized department",,,,,,
,,,,,,,,,
,,,<b>Frequency (Reporting):</b>,,,,,,
,,,to be determined individually (e.g. annually),,,,,,
,,,,,,,,,
,,,<b>Treshold levels:</b>,,,,,,
,,,"to be determined individually (e.g. Green: > 90%, Yellow: 70-90%, Red: < 70%)",,,,,,
,,,,,,,,,
,,,<b>Measurement:</b>,,,,,,
,,,Quotient: number of orders with concluded non-disclosure agreement/total number of relevant orders ,,,,,,
,,,,,,,,,
,,,<b>Frequency (measurement):</b>,,,,,,
,,,to be determined individually (e.g. monthly),,,,,,
,,,,,,,,,
,,,<b>Interfaces:</b>,,,,,,
,,,"Acquisition, Information Security, specialized department",,,,,,
,,,,,,,,,
,,,<b>Components:</b>,,,,,,
,,,Acquisition system,,,,,,
,,,,,,,,,
,,,<b>Data archiving:</b>,,,,,,
,,,5 years,,,,,,
,,,,,,,,,
100.3.35,100.3.35 Effectiveness of risk handling in information service acquisition processes,3,14.1 Requirements for the acquisition of information systems,,,,,,
,,,,,,,,,
,,,<b>VDA ISA target maturity level:</b>,,,,,,
,,,3,,,,,,
,,,,,,,,,
,,,<b>Scope:</b>,,,,,,
,,,Effectiveness,,,,,,
,,,,,,,,,
,,,<b>Description:</b>,,,,,,
,,,Risks identified during the acquisition process are treated  in a timely and effective manner.,,,,,,
,,,,,,,,,
,,,<b>Objective (Vision):</b>,,,,,,
,,,Risks identified in acquisition are handled in an effective manner,,,,,,
,,,,,,,,,
